Datetime,Close,High,Low,Open,Volume
2025-05-29 09:30:00-04:00,173.539794921875,175.39999389648438,173.5,175.0449981689453,3937786
2025-05-29 10:00:00-04:00,173.4499969482422,173.64999389648438,172.5301055908203,173.539794921875,1875653
2025-05-29 10:30:00-04:00,173.72000122070312,173.85000610351562,173.3000030517578,173.4499969482422,1019203
2025-05-29 11:00:00-04:00,173.48500061035156,173.7899932861328,173.22000122070312,173.72500610351562,1159823
2025-05-29 11:30:00-04:00,172.02999877929688,173.50379943847656,171.8699951171875,173.47000122070312,1173899
2025-05-29 12:00:00-04:00,172.61000061035156,172.7808074951172,171.77999877929688,172.02999877929688,1506011
2025-05-29 12:30:00-04:00,172.67999267578125,172.77000427246094,172.1790008544922,172.61000061035156,1027440
2025-05-29 13:00:00-04:00,172.52999877929688,172.97999572753906,172.5034942626953,172.66000366210938,827984
2025-05-29 13:30:00-04:00,172.50999450683594,172.69000244140625,172.32000732421875,172.51499938964844,822973
2025-05-29 14:00:00-04:00,172.10879516601562,172.73500061035156,172.0500030517578,172.50999450683594,909397
2025-05-29 14:30:00-04:00,172.64999389648438,172.86500549316406,172.10499572753906,172.10499572753906,825509
2025-05-29 15:00:00-04:00,172.67539978027344,172.97000122070312,172.41000366210938,172.63999938964844,1035783
2025-05-29 15:30:00-04:00,172.9600067138672,173.3800048828125,172.52000427246094,172.6649932861328,2482166
2025-05-30 09:30:00-04:00,171.625,172.75,170.91000366210938,172.41000366210938,2406999
2025-05-30 10:00:00-04:00,171.67999267578125,172.25,171.55499267578125,171.6699981689453,1650754
2025-05-30 10:30:00-04:00,171.6300048828125,172.10000610351562,171.4102020263672,171.6699981689453,1377726
2025-05-30 11:00:00-04:00,171.4499969482422,171.7530059814453,170.91990661621094,171.63499450683594,1111681
2025-05-30 11:30:00-04:00,171.42649841308594,171.5850067138672,170.55999755859375,171.39999389648438,1385318
2025-05-30 12:00:00-04:00,169.8000030517578,171.4499969482422,169.7449951171875,171.42999267578125,1229909
2025-05-30 12:30:00-04:00,168.89999389648438,169.7899932861328,168.52499389648438,169.76499938964844,2366931
2025-05-30 13:00:00-04:00,169.69000244140625,169.75,168.69500732421875,168.8800048828125,1267965
2025-05-30 13:30:00-04:00,170.52000427246094,170.75970458984375,169.67999267578125,169.72999572753906,962009
2025-05-30 14:00:00-04:00,170.8000946044922,171.0800018310547,170.4001007080078,170.52000427246094,1017300
2025-05-30 14:30:00-04:00,171.17999267578125,171.25999450683594,170.73500061035156,170.82000732421875,1484288
2025-05-30 15:00:00-04:00,172.0749969482422,172.2252960205078,171.10000610351562,171.1699981689453,1466089
2025-05-30 15:30:00-04:00,172.77000427246094,173.44000244140625,171.91000366210938,172.0800018310547,5331720
2025-06-02 09:30:00-04:00,169.47999572753906,171.06239318847656,168.64999389648438,169.06500244140625,4704694
2025-06-02 10:00:00-04:00,170.3553009033203,170.52999877929688,168.8699951171875,169.47000122070312,2175012
